Feb 14 06:50:09 voag uv[798833]: 06:50:09 | INFO    | post_call_analysis.runner | Empty conversation for call_log_id=dc7390de-7fa4-41c5-93c5-4f68f8359f11; skipping analysis
Feb 14 06:59:58 voag uv[798833]: 06:59:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (601s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:00:28 voag uv[798833]: 07:00:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (631s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:00:58 voag uv[798833]: 07:00:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (661s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:01:28 voag uv[798833]: 07:01:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (691s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:01:58 voag uv[798833]: 07:01:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (721s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:02:28 voag uv[798833]: 07:02:28 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (751s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:02:58 voag uv[798833]: 07:02:58 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (781s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:03:29 voag uv[798833]: 07:03:29 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (811s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:03:59 voag uv[798833]: 07:03:59 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (841s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:04:29 voag uv[798833]: 07:04:29 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (871s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:04:59 voag uv[798833]: 07:04:59 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Waiting for 2 entries (901s elapsed): ? (call:830741e7, status:dispatched), ? (call:a6aab95a, status:dispatched)
Feb 14 07:06:43 voag uv[798833]: INFO:     87.120.191.67:0 - "POST / HTTP/1.1" 405 Method Not Allowed
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | WARNING | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62 wave 60: Timeout after 1201.3s, 2 entries still pending
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | ERROR   | db.storage.batches | Failed to handle wave timeout: column "error_message" of relation "voice_call_batch_entries" does not exist
Feb 14 07:09:59 voag uv[798833]: LINE 4:                             error_message = 'max_retries_exc...
Feb 14 07:09:59 voag uv[798833]:                                     ^
Feb 14 07:09:59 voag uv[798833]: Traceback (most recent call last):
Feb 14 07:09:59 voag uv[798833]:   File "/home/sahil/vonage-agent/db/storage/batches.py", line 1284, in handle_wave_timeout
Feb 14 07:09:59 voag uv[798833]:     cur.execute(
Feb 14 07:09:59 voag uv[798833]:   File "/home/sahil/vonage-agent/.venv/lib/python3.12/site-packages/psycopg2/extras.py", line 236, in execute
Feb 14 07:09:59 voag uv[798833]:     return super().execute(query, vars)
Feb 14 07:09:59 voag uv[798833]:            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Feb 14 07:09:59 voag uv[798833]: psycopg2.errors.UndefinedColumn: column "error_message" of relation "voice_call_batch_entries" does not exist
Feb 14 07:09:59 voag uv[798833]: LINE 4:                             error_message = 'max_retries_exc...
Feb 14 07:09:59 voag uv[798833]:                                     ^
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62: Wave 60 complete
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | api.routes.batch | Batch batch-55e24eb1e1ab4ae2ba1d560d62ff8c62: Starting wave 61 (901-915 of 983)
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | DEBUG   | db.storage.leads | No lead found for phone: +919391004288
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | db.storage.leads | Creating new lead for phone: +919391004288
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | db.storage.leads | Created new lead: id=a249e946-b7db-452e-a229-391d65973beb, phone=+919391004288
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919391004288, formatted=09391004288, country=india        
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | api.services.call_service | Call routing: +919391004288 -> 09391004288 (carrier: Sasya Spaces IN)
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:09:59 voag uv[798833]: 07:09:59 | INFO    | db.storage.calls | Created call log: id=56486a39-43ab-46fb-91e0-56bdb78307d5, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-d05d360c, dispatch_id=AD_EXXen9mkBDW3, call_log_id=56486a39-43ab-46fb-91e0-56bdb78307d5, to=+919391004288
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | DEBUG   | db.storage.leads | No lead found for phone: +919393033250
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | db.storage.leads | Creating new lead for phone: +919393033250
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | db.storage.leads | Created new lead: id=8517d93d-95d5-43e2-8f11-2fa9606174e2, phone=+919393033250
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919393033250, formatted=09393033250, country=india        
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | api.services.call_service | Call routing: +919393033250 -> 09393033250 (carrier: Sasya Spaces IN)
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:01 voag uv[798833]: 07:10:01 | INFO    | db.storage.calls | Created call log: id=7909c862-b746-4402-803a-966c009e221f, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-f53201c2, dispatch_id=AD_TRGUvcwNhyMp, call_log_id=7909c862-b746-4402-803a-966c009e221f, to=+919393033250
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | DEBUG   | db.storage.leads | No lead found for phone: +919399973041
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | db.storage.leads | Creating new lead for phone: +919399973041
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | db.storage.leads | Created new lead: id=627dd8e9-f85b-466f-971e-623c3785e2fc, phone=+919399973041
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919399973041, formatted=09399973041, country=india        
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | api.services.call_service | Call routing: +919399973041 -> 09399973041 (carrier: Sasya Spaces IN)
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:02 voag uv[798833]: 07:10:02 | INFO    | db.storage.calls | Created call log: id=88e7c78b-0936-4834-a93b-6535ee427772, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-55774550, dispatch_id=AD_bzEZTQB9jYge, call_log_id=88e7c78b-0936-4834-a93b-6535ee427772, to=+919399973041
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | DEBUG   | db.storage.leads | No lead found for phone: +919247774229
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | db.storage.leads | Creating new lead for phone: +919247774229
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | db.storage.leads | Created new lead: id=769e2862-5e00-477f-816b-b300040c1982, phone=+919247774229
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919247774229, formatted=09247774229, country=india        
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | api.services.call_service | Call routing: +919247774229 -> 09247774229 (carrier: Sasya Spaces IN)
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:04 voag uv[798833]: 07:10:04 | INFO    | db.storage.calls | Created call log: id=1f942f6e-2e49-4a68-ac1b-ed3b9d533896, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-abb601fc, dispatch_id=AD_MpcdkJ7GsCwS, call_log_id=1f942f6e-2e49-4a68-ac1b-ed3b9d533896, to=+919247774229
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | DEBUG   | db.storage.leads | No lead found for phone: +919440057444
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | db.storage.leads | Creating new lead for phone: +919440057444
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | db.storage.leads | Created new lead: id=a37cda43-0b0a-47e2-a565-35ecc4a795fb, phone=+919440057444
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919440057444, formatted=09440057444, country=india        
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | api.services.call_service | Call routing: +919440057444 -> 09440057444 (carrier: Sasya Spaces IN)
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:07 voag uv[798833]: 07:10:07 | INFO    | db.storage.calls | Created call log: id=0f9b1e4b-2fd4-4a3c-bd79-0e827e707353, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-37c59003, dispatch_id=AD_UQwAYwuzNoZc, call_log_id=0f9b1e4b-2fd4-4a3c-bd79-0e827e707353, to=+919440057444
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | DEBUG   | db.storage.leads | No lead found for phone: +919290832385
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | db.storage.leads | Creating new lead for phone: +919290832385
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | db.storage.leads | Created new lead: id=c8308644-b33c-4ce9-9ee7-85b2d3aba829, phone=+919290832385
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919290832385, formatted=09290832385, country=india        
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | api.services.call_service | Call routing: +919290832385 -> 09290832385 (carrier: Sasya Spaces IN)
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:10 voag uv[798833]: 07:10:10 | INFO    | db.storage.calls | Created call log: id=93ec1d31-ae71-43d0-95ef-b04629228acf, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-b03bb49b, dispatch_id=AD_Y3uQfC87ohSN, call_log_id=93ec1d31-ae71-43d0-95ef-b04629228acf, to=+919290832385
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | DEBUG   | db.storage.leads | No lead found for phone: +919398628548
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | db.storage.leads | Creating new lead for phone: +919398628548
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | db.storage.leads | Created new lead: id=fea9a0cd-2946-4b95-873a-aa29ebd4d715, phone=+919398628548
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919398628548, formatted=09398628548, country=india        
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | api.services.call_service | Call routing: +919398628548 -> 09398628548 (carrier: Sasya Spaces IN)
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:11 voag uv[798833]: 07:10:11 | INFO    | db.storage.calls | Created call log: id=29cfa2b7-dd00-48f0-96d0-3635250a65d8, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-29590dd8, dispatch_id=AD_e95YAKKQP3q3, call_log_id=29cfa2b7-dd00-48f0-96d0-3635250a65d8, to=+919398628548
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | DEBUG   | db.storage.leads | No lead found for phone: +919246537027
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | db.storage.leads | Creating new lead for phone: +919246537027
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | db.storage.leads | Created new lead: id=711a694e-c5dd-4227-b11b-f1cab930e999, phone=+919246537027
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919246537027, formatted=09246537027, country=india        
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | api.services.call_service | Call routing: +919246537027 -> 09246537027 (carrier: Sasya Spaces IN)
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:14 voag uv[798833]: 07:10:14 | INFO    | db.storage.calls | Created call log: id=260b3a45-d5bb-41e7-a4dc-9826528fac78, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-9760ceec, dispatch_id=AD_hA24GjpmACfq, call_log_id=260b3a45-d5bb-41e7-a4dc-9826528fac78, to=+919246537027
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | DEBUG   | db.storage.leads | No lead found for phone: +919440679715
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | db.storage.leads | Creating new lead for phone: +919440679715
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | db.storage.leads | Created new lead: id=431d504b-3499-4ef5-99f8-635b4e50909d, phone=+919440679715
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919440679715, formatted=09440679715, country=india        
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | api.services.call_service | Call routing: +919440679715 -> 09440679715 (carrier: Sasya Spaces IN)
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:16 voag uv[798833]: 07:10:16 | INFO    | db.storage.calls | Created call log: id=fcca0df2-c7dc-4789-b256-b45d4eef892e, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-a4eca8c2, dispatch_id=AD_AfuzDpNk6FK5, call_log_id=fcca0df2-c7dc-4789-b256-b45d4eef892e, to=+919440679715
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | DEBUG   | db.storage.leads | No lead found for phone: +919391048140
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | db.storage.leads | Creating new lead for phone: +919391048140
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | db.storage.leads | Created new lead: id=e775085b-bfce-4c05-a8ba-e54933c195db, phone=+919391048140
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919391048140, formatted=09391048140, country=india        
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | api.services.call_service | Call routing: +919391048140 -> 09391048140 (carrier: Sasya Spaces IN)
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | db.storage.numbers | Found number: id=2d494b22-3534-47e1-9943-b64aeefda83a, phone=+918634515070
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | DEBUG   | api.services.call_service | Resolved from_number +918634515070 to from_number_id=2d494b22-3534-47e1-9943-b64aeefda83a
Feb 14 07:10:18 voag uv[798833]: 07:10:18 | INFO    | db.storage.calls | Created call log: id=0d73921e-2afa-473b-a0e0-0f5fe4c1f5e8, tenant=734cd516-e252-4728-9c52-4663ee552653, direction=outbound
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | INFO    | api.services.call_service | Dispatched call: room=call-batch-55e24eb1e1ab4ae2ba1d560d62ff8c62-773e7f43, dispatch_id=AD_nBDn5NKEfUkd, call_log_id=0d73921e-2afa-473b-a0e0-0f5fe4c1f5e8, to=+919391048140
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | DEBUG   | db.storage.leads | No lead found for phone: +919133481107
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | INFO    | db.storage.leads | Creating new lead for phone: +919133481107
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | INFO    | db.storage.leads | Created new lead: id=b11fc600-9e95-4b66-9577-83a541e89160, phone=+919133481107
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | INFO    | api.services.call_service | [Education] Vertical check: tenant_id=734cd516..., is_education=False
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | DEBUG   | db.db_config | Using PRODUCTION database: 165.22.221.77:5432/salesmaya_agent
Feb 14 07:10:20 voag uv[798833]: 07:10:20 | INFO    | utils.call_routing | Call routing: carrier=Sasya Spaces IN, original=+919133481107, formatted=09133481107, country=india        
